file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,48,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,49,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,3
style.css,50,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,13
style.css,51,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,19
style.css,52,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,24
style.css,53,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,26
style.css,54,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,28
style.css,55,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,56,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,57,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,5
style.css,58,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,7
style.css,59,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,21
style.css,60,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,14
style.css,61,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,18
style.css,62,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,13
style.css,63,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,64,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,65,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,13
style.css,66,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,44
style.css,67,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,20
style.css,68,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
style.css,69,css,59c367f6,Khushi Raghuvanshi,2025-01-16,23:46:22,-08:00,2025-01-16T23:46:22-08:00,0,0
